name,album,artist_name,duration,link_url
West,"EPs, Singles and Remixes",Hammock,4:06,https://open.spotify.com/track/6iY6xcbVExYhCU0FkEjiaJ
Glory Box,Dummy (Non UK Version),Portishead,5:05,https://open.spotify.com/track/68oUQRwGJGExtkpaSvSbgb
Dictaphone’s Lament,Past Is Prologue,Tycho,5:10,https://open.spotify.com/track/5tDoMV45rlaqdhc4pMt0vN
Miss You,Chilltronica No. 2 - Music for the Cold & Rainy Season,trentemøller,4:03,https://open.spotify.com/track/1ph6Bncj7s3BmYp6FkIzP8
Elegiac,Opalescent,Jon Hopkins,6:24,https://open.spotify.com/track/1beB8x5zGWu7rQS7Y6jOLQ
Sky Trees,Movements,Solar Fields,9:01,https://open.spotify.com/track/5jDZmeig1f7c0Sz8xSiocb
Back Side Of The Moon,Adventures Beyond The Ultraworld,The Orb,14:14,https://open.spotify.com/track/26txolfsixS8C767jpTREx
Moth,DJ-KiCKS (Apparat),Burial + Four Tet,4:55,https://open.spotify.com/track/6BXvSPUVossmiwVKpYIu2m
Proton/Electron,World Of Sleepers,Carbon Based Lifeforms,6:57,https://open.spotify.com/track/4ZEVoBaSKdJfpeunWmyQfs
Bon,Back To The Sea,Adam & Alma,5:06,https://open.spotify.com/track/0PD70LezIRS4kAGQHnZ8SG
Newborn,Newborn,Lowlakes,4:10,https://open.spotify.com/track/3CUFFu1ifUMeRozLhbTdgr
French Catalogues (Variation On 'The Canon In D Major' By Johann Pachelbel) - Remastered 2004,Discreet Music,Brian Eno,5:19,https://open.spotify.com/track/0lKoQnWjjPJUHgw5nCGKAn
A Lovely Place to Be,So Flows The Current,Patrick O'Hearn,8:50,https://open.spotify.com/track/7ocJPvoS4xnFcaFc4B3AJj
Digging Shelters,Palindrome Hunches,Neil Halstead,3:40,https://open.spotify.com/track/7zjWtWDCNgeXSY78nLzBQJ
Bright - Original Mix,"Lovely Mood Lounge, Vol. 2",Fell,4:14,https://open.spotify.com/track/37IwDzmSZXEZcER596VF3w
Islands,xx,The xx,2:40,https://open.spotify.com/track/2SMn57cBVxoD4TArscpovk
Lament,Treny,Jacaszek,6:54,https://open.spotify.com/track/5uvvHTxUGFI6oR9Mj5YIca
Space Walk,Lost Horizons,Lemon Jelly,7:02,https://open.spotify.com/track/0dh2F3Mi1b1EGafGmvUC9M
All I Need (feat. Beth Hirsch),Moon Safari,Air,4:28,https://open.spotify.com/track/6T10XPeC9X5xEaD6tMcK6M
M386 - 2005 Digital Remaster,Music For Films,Brian Eno,2:50,https://open.spotify.com/track/4cE2xEdzwUte8t7LhoYcM6
Ketto,Days To Come,Bonobo,5:06,https://open.spotify.com/track/4Gkd4msFAFTiDxFZcg9r8i
First Narrows,First Narrows,Loscil,10:19,https://open.spotify.com/track/1LDQpmzXg5ZFfdqdBQFw03
"Be Comfortable, Creature","Take Care, Take Care, Take Care",Explosions In The Sky,8:47,https://open.spotify.com/track/1xXpk03LYzaOC8eQHUbmCd
Fjögur píanó,Valtari,Sigur Rós,7:50,https://open.spotify.com/track/4hxlBScGRBIwP7FYjVzBBN
Tear-blind Eyes,Greenosophy,Rildrim,9:43,https://open.spotify.com/track/7ixlvVphewtUP008zLJLJY
Held together by gravity,Twentythree,Carbon Based Lifeforms,8:05,https://open.spotify.com/track/4sEG0E3IBQHp6V2DGTnXNX
Daydream,Dive,Tycho,5:34,https://open.spotify.com/track/3x1QE1uiG9wqYL7oBW4C8Z
Kobresia,Substrata,Biosphere,7:12,https://open.spotify.com/track/1vriNGX7VD9Cx0Z2N2IglO
Lesser Heaven,Small Craft On A Milk Sea,Brian Eno,3:20,https://open.spotify.com/track/6Rkr9b1ooiIgcebMRATPhD
Silent from Above,Foreign Body,Mirrorring,4:58,https://open.spotify.com/track/04ohpWQHENREA5pmiIvrNB
Chinese Radio,Fahrenheit Project Part Four,Puff Dragon,6:40,https://open.spotify.com/track/7uTs0S0Oh0Lc4Zz5m8lQfR
Sickbay,First Narrows,Loscil,6:13,https://open.spotify.com/track/4ATmrrl62WO59u6kihcS6U
At the River,The Best Of,Groove Armada,6:33,https://open.spotify.com/track/0M7ZlP2RfhlrV5Jc7LkBRj
Nine,Amber,Autechre,3:40,https://open.spotify.com/track/7FR8DdPrRieZexZQaGDRWU
Bird,Somewhere Else,INDIANS,5:01,https://open.spotify.com/track/5NCScH7e54KfN429bc0YCj
Brutal Ardour (Variation On 'The Canon In D Major' By Johann Pachelbel) - Remastered 2004,Discreet Music,Brian Eno,8:13,https://open.spotify.com/track/6Jwq0BneOY7cRW5SN3wWXX
14:31,76:14,Global Communication,14:31,https://open.spotify.com/track/0GU7HXMGewpD83cGv6a5YH
Frog,Interloper,Carbon Based Lifeforms,7:22,https://open.spotify.com/track/5aNuPgou6IsV49mVfGKR08
Divine Moments of Truth,Are You Shpongled?,Shpongle,10:20,https://open.spotify.com/track/5z0QLEpkbUh00SevSuYxOh
Second Narrows,Sketches from New Brighton,Loscil,8:35,https://open.spotify.com/track/4upUGbQVqH0qlhEmCM79f1
